Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,poverty-rate
0500000US01001,1001,"Autauga County, Alabama",54712,139,7006,935,12.80523468
0500000US01003,1003,"Baldwin County, Alabama",188636,447,25988,2457,13.77679764
0500000US01005,1005,"Barbour County, Alabama",24215,288,5832,639,24.0842453
0500000US01007,1007,"Bibb County, Alabama",21100,178,3596,770,17.04265403
0500000US01009,1009,"Blount County, Alabama",57083,208,9866,947,17.28360458
0500000US01011,1011,"Bullock County, Alabama",10153,246,2085,477,20.53580223
0500000US01013,1013,"Butler County, Alabama",20208,147,5239,517,25.92537609
0500000US01015,1015,"Calhoun County, Alabama",114171,516,24794,1491,21.71654799
0500000US01017,1017,"Chambers County, Alabama",33653,113,8051,823,23.92357294
0500000US01019,1019,"Cherokee County, Alabama",25554,206,5370,876,21.01432261
0500000US01021,1021,"Chilton County, Alabama",43290,189,8128,931,18.77569878
0500000US01023,1023,"Choctaw County, Alabama",13360,50,2867,364,21.45958084
0500000US01025,1025,"Clarke County, Alabama",25008,147,6757,778,27.01935381
0500000US01027,1027,"Clay County, Alabama",13296,134,2481,465,18.65974729
0500000US01029,1029,"Cleburne County, Alabama",14828,82,2691,507,18.14809819
0500000US01031,1031,"Coffee County, Alabama",50064,137,9403,916,18.78195909
0500000US01033,1033,"Colbert County, Alabama",53978,154,9860,1199,18.26670125
0500000US01035,1035,"Conecuh County, Alabama",12928,58,4256,613,32.92079208
0500000US01037,1037,"Coosa County, Alabama",10953,127,2190,421,19.99452205
0500000US01039,1039,"Covington County, Alabama",37232,187,7479,922,20.08755909
0500000US01041,1041,"Crenshaw County, Alabama",13729,139,2358,399,17.17532231
0500000US01043,1043,"Cullman County, Alabama",79581,228,14354,1315,18.03696862
0500000US01045,1045,"Dale County, Alabama",48674,261,9114,764,18.72457575
0500000US01047,1047,"Dallas County, Alabama",42234,171,15163,1243,35.90235355
0500000US01049,1049,"DeKalb County, Alabama",70247,172,14128,1555,20.1118909
0500000US01051,1051,"Elmore County, Alabama",74949,998,9700,1274,12.94213398
0500000US01053,1053,"Escambia County, Alabama",35742,459,9309,888,26.04498909
0500000US01055,1055,"Etowah County, Alabama",102374,358,20059,1424,19.59384219
0500000US01057,1057,"Fayette County, Alabama",16766,119,3492,438,20.82786592
0500000US01059,1059,"Franklin County, Alabama",31305,139,7601,1096,24.28046638
0500000US01061,1061,"Geneva County, Alabama",26437,150,5983,671,22.63116087
