FIPS,Year,State,ST,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 11 Categories (in ranges)"
1001,2002,Alabama,AL,1,"Autauga County, AL",45909,4.1-6.0
1001,2003,Alabama,AL,1,"Autauga County, AL",46800,4.1-6.0
1001,2004,Alabama,AL,1,"Autauga County, AL",48366,4.1-6.0
1001,2005,Alabama,AL,1,"Autauga County, AL",49676,4.1-6.0
1001,2006,Alabama,AL,1,"Autauga County, AL",51328,6.1-8.0
1001,2007,Alabama,AL,1,"Autauga County, AL",52405,6.1-8.0
1001,2008,Alabama,AL,1,"Autauga County, AL",53277,6.1-8.0
1001,2009,Alabama,AL,1,"Autauga County, AL",54135,6.1-8.0
1001,2010,Alabama,AL,1,"Autauga County, AL",54571,6.1-8.0
1001,2011,Alabama,AL,1,"Autauga County, AL",55267,6.1-8.0
1001,2012,Alabama,AL,1,"Autauga County, AL",55514,8.1-10.0
1001,2013,Alabama,AL,1,"Autauga County, AL",55246,8.1-10.0
1001,2014,Alabama,AL,1,"Autauga County, AL",55395,8.1-10.0
1003,2002,Alabama,AL,1,"Baldwin County, AL",147957,10.1-12.0
1003,2003,Alabama,AL,1,"Baldwin County, AL",151509,10.1-12.0
1003,2004,Alabama,AL,1,"Baldwin County, AL",156266,10.1-12.0
1003,2005,Alabama,AL,1,"Baldwin County, AL",162183,10.1-12.0
1003,2006,Alabama,AL,1,"Baldwin County, AL",168121,12.1-14.0
1003,2007,Alabama,AL,1,"Baldwin County, AL",172404,12.1-14.0
1003,2008,Alabama,AL,1,"Baldwin County, AL",175827,12.1-14.0
1003,2009,Alabama,AL,1,"Baldwin County, AL",179406,14.1-16.0
1003,2010,Alabama,AL,1,"Baldwin County, AL",182265,14.1-16.0
1003,2011,Alabama,AL,1,"Baldwin County, AL",186717,14.1-16.0
1003,2012,Alabama,AL,1,"Baldwin County, AL",190790,16.1-18.0
1003,2013,Alabama,AL,1,"Baldwin County, AL",195540,16.1-18.0
1003,2014,Alabama,AL,1,"Baldwin County, AL",200111,18.1-20.0
1005,2002,Alabama,AL,1,"Barbour County, AL",28653,0.0-2.0
1005,2003,Alabama,AL,1,"Barbour County, AL",28594,2.1-4.0
1005,2004,Alabama,AL,1,"Barbour County, AL",28287,2.1-4.0
1005,2005,Alabama,AL,1,"Barbour County, AL",28027,2.1-4.0
1005,2006,Alabama,AL,1,"Barbour County, AL",27861,2.1-4.0
1005,2007,Alabama,AL,1,"Barbour County, AL",27757,2.1-4.0
1005,2008,Alabama,AL,1,"Barbour County, AL",27808,2.1-4.0
1005,2009,Alabama,AL,1,"Barbour County, AL",27657,2.1-4.0
1005,2010,Alabama,AL,1,"Barbour County, AL",27457,2.1-4.0
1005,2011,Alabama,AL,1,"Barbour County, AL",27119,2.1-4.0
1005,2012,Alabama,AL,1,"Barbour County, AL",27201,4.1-6.0
1005,2013,Alabama,AL,1,"Barbour County, AL",27076,4.1-6.0
1005,2014,Alabama,AL,1,"Barbour County, AL",26887,4.1-6.0
1007,2002,Alabama,AL,1,"Bibb County, AL",21199,6.1-8.0
1007,2003,Alabama,AL,1,"Bibb County, AL",21399,6.1-8.0
1007,2004,Alabama,AL,1,"Bibb County, AL",21721,6.1-8.0
1007,2005,Alabama,AL,1,"Bibb County, AL",22042,6.1-8.0
1007,2006,Alabama,AL,1,"Bibb County, AL",22099,8.1-10.0
1007,2007,Alabama,AL,1,"Bibb County, AL",22438,8.1-10.0
1007,2008,Alabama,AL,1,"Bibb County, AL",22705,8.1-10.0
1007,2009,Alabama,AL,1,"Bibb County, AL",22941,10.1-12.0
1007,2010,Alabama,AL,1,"Bibb County, AL",22915,10.1-12.0
1007,2011,Alabama,AL,1,"Bibb County, AL",22766,10.1-12.0
1007,2012,Alabama,AL,1,"Bibb County, AL",22597,12.1-14.0
1007,2013,Alabama,AL,1,"Bibb County, AL",22512,12.1-14.0
1007,2014,Alabama,AL,1,"Bibb County, AL",22506,14.1-16.0
