Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Less than 9th grade,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Total; Estimate; Population 25 years and over - Some college, no degree",Total; Estimate; Population 25 years and over - Associate's degree,Total; Estimate; Population 25 years and over - Bachelor's degree,Total; Estimate; Population 25 years and over - Graduate or professional degree,Total; Estimate; Percent high school graduate or higher,Total; Estimate; Percent bachelor's degree or higher
0500000US01001,1001,"Autauga County, Alabama",4689,36233,4.4,9.4,33.5,22.9,7.8,13.6,8.3,86.2,21.9
0500000US01003,1003,"Baldwin County, Alabama",14752,133267,3.6,7.3,28.8,22.9,8.7,19.1,9.5,89,28.6
0500000US01005,1005,"Barbour County, Alabama",2421,18836,9.1,16.4,33.4,20.5,7.1,7.9,5.7,74.6,13.6
0500000US01007,1007,"Bibb County, Alabama",2067,15683,9,13.1,40.1,21.5,6.1,5.8,4.4,77.9,10.2
0500000US01009,1009,"Blount County, Alabama",4716,39052,7.5,14.5,34.5,22.3,9,8.1,4.1,78.1,12.3
0500000US01011,1011,"Bullock County, Alabama",1127,7283,13.9,20.6,32.3,15.3,3.8,5.9,8.2,65.5,14.1
0500000US01013,1013,"Butler County, Alabama",1647,14041,7.9,15.5,37.1,17.4,7.8,8.3,6,76.6,14.3
0500000US01015,1015,"Calhoun County, Alabama",12182,78667,6.7,13.3,32.4,23.4,7.4,10.7,6.2,80.1,16.9
0500000US01017,1017,"Chambers County, Alabama",2872,23821,6.4,16.1,37.3,20.7,7.2,7.8,4.4,77.5,12.2
0500000US01019,1019,"Cherokee County, Alabama",1941,18806,8.2,12.4,35.9,23.2,6.7,8.1,5.7,79.5,13.7
0500000US01021,1021,"Chilton County, Alabama",3663,29393,8,14.5,40,17,7,8.8,4.8,77.5,13.5
0500000US01023,1023,"Choctaw County, Alabama",1071,9564,9.2,16.7,35.2,18.4,7.6,8.1,4.7,74.1,12.8
0500000US01025,1025,"Clarke County, Alabama",2155,17220,5.5,14.4,43.9,16.5,7.7,8.1,3.9,80.1,11.9
0500000US01027,1027,"Clay County, Alabama",976,9620,10.2,14.9,36.2,22.6,7.4,5.4,3.2,74.9,8.6
0500000US01029,1029,"Cleburne County, Alabama",1105,10308,7.8,16.9,38.6,21.4,4.7,5.7,4.9,75.3,10.6
0500000US01031,1031,"Coffee County, Alabama",4239,34363,6.3,10.6,29.8,21.1,9,14.2,9,83.1,23.2
0500000US01033,1033,"Colbert County, Alabama",4575,38009,5.1,11.2,33.8,24.3,7.8,11.1,6.5,83.6,17.6
0500000US01035,1035,"Conecuh County, Alabama",1157,8930,8.1,15.9,42.8,18,6.9,4.4,3.9,76,8.3
0500000US01037,1037,"Coosa County, Alabama",890,8218,7.1,17,39.5,20.9,6.4,5.3,3.8,75.9,9.1
0500000US01039,1039,"Covington County, Alabama",3005,26478,8,12,34.1,22.1,9.3,9.4,5.2,80,14.6
0500000US01041,1041,"Crenshaw County, Alabama",1169,9527,9.6,13.5,38.6,18.4,7.4,8.2,4.3,76.9,12.5
0500000US01043,1043,"Cullman County, Alabama",6939,55380,7.1,11.3,33.2,22.8,10.4,9.4,5.7,81.5,15.1
0500000US01045,1045,"Dale County, Alabama",4820,33129,5,10.3,31.1,26.3,10.5,11.2,5.7,84.7,16.9
0500000US01047,1047,"Dallas County, Alabama",4018,27699,6.5,15.9,35.4,20.6,7.2,8.5,6,77.7,14.5
0500000US01049,1049,"DeKalb County, Alabama",6138,47081,11.6,15.2,34.9,18.5,8.5,6.7,4.6,73.1,11.3
0500000US01051,1051,"Elmore County, Alabama",7817,53964,3.1,9.8,35.2,21.9,8.7,13.4,8,87.2,21.4
0500000US01053,1053,"Escambia County, Alabama",3650,25894,7.8,13.6,40.3,19.7,6,8.6,4,78.6,12.5
0500000US01055,1055,"Etowah County, Alabama",9061,71636,6,11.9,32.3,25.8,8.5,9.7,5.7,82.1,15.4
0500000US01057,1057,"Fayette County, Alabama",1363,11935,8.7,15.2,38.1,17.1,7.1,7.7,6.2,76.1,13.8
