Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,pct-white,pct-non-white,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,1001,"Autauga County, Alabama",55136,*****,43011,331,78.00892339,21.99107661,10257,185,230,65,500,111,16,26,384,342,738,214,55,77,683,194
0500000US01003,1003,"Baldwin County, Alabama",191205,*****,165673,710,86.64679271,13.35320729,17907,427,999,325,1256,269,0,27,1843,660,3527,593,542,324,2985,515
0500000US01005,1005,"Barbour County, Alabama",27119,*****,12806,237,47.22150522,52.77849478,12565,186,48,42,204,152,0,21,954,310,542,203,46,66,496,187
0500000US01007,1007,"Bibb County, Alabama",22653,*****,17379,14,76.71831545,23.28168455,4797,282,160,118,19,24,0,21,6,13,292,249,0,21,292,249
0500000US01009,1009,"Blount County, Alabama",57645,*****,54927,323,95.28493365,4.715066354,885,130,287,212,57,38,0,27,583,291,906,209,21,23,885,204
0500000US01011,1011,"Bullock County, Alabama",10693,*****,2803,446,26.21341064,73.78658936,7640,460,70,92,6,12,48,83,0,18,126,95,0,18,126,95
0500000US01013,1013,"Butler County, Alabama",20523,*****,11204,69,54.59240852,45.40759148,8975,104,25,23,118,85,0,21,49,69,152,68,32,45,120,57
0500000US01015,1015,"Calhoun County, Alabama",117186,*****,88125,432,75.20096257,24.79903743,24396,304,272,107,939,163,17,19,1294,380,2143,410,138,159,2005,405
0500000US01017,1017,"Chambers County, Alabama",34091,*****,19771,109,57.99477868,42.00522132,13722,146,61,47,214,31,8,13,31,34,284,114,17,26,267,112
0500000US01019,1019,"Cherokee County, Alabama",26042,*****,24207,77,92.95369019,7.046309807,1283,84,97,66,90,32,3,5,36,45,326,84,5,9,321,84
0500000US01021,1021,"Chilton County, Alabama",43781,*****,37018,511,84.55265983,15.44734017,4484,115,178,54,104,54,0,24,1693,499,304,118,16,21,288,119
0500000US01023,1023,"Choctaw County, Alabama",13546,*****,7558,12,55.79506865,44.20493135,5896,67,0,18,8,14,0,18,0,18,84,63,0,18,84,63
0500000US01025,1025,"Clarke County, Alabama",25331,*****,13613,56,53.7404761,46.2595239,11401,193,0,21,51,64,93,146,35,41,138,116,10,15,128,115
0500000US01027,1027,"Clay County, Alabama",13617,*****,11150,130,81.88294044,18.11705956,1986,144,103,48,0,18,0,18,175,133,203,159,21,24,182,157
0500000US01029,1029,"Cleburne County, Alabama",14990,*****,14095,130,94.0293529,5.970647098,430,116,53,38,69,87,0,18,85,96,258,116,22,32,236,108
